Title,Year
"[REC]²",2009
"[REC]³ Genesis",2012
"[REC]⁴ Apocalypse",2014
"¡Que Viva Mexico!",1932
"2 Women",2022
"2LDK",2003
"5 Lessons in Happiness Baby Maybe",2020
"7 Emotions",2018
"7 Letters",2015
"7 Witches",2017
"8 ½ Women",1999
"8½",1963
"10 Violent Women",1982
"10,000 Saints",2015
"12 Angry Men",1997
"12 Storeys",1997
"12 Years a Slave",2013
"13 Game of Death",2006
"13 Slays Till X-mas",2020
"15 The Movie",2003
"18 Roughs",1963
"26 Years",2012
"28 Days",2000
"55 Steps",2018
"100 Bloody Acres",2012
"100 Ways to Murder Your Wife",1986
"100 Years of Japanese Cinema",1995
"199 Shorts",2003
"237",2006
"300 Million Thief Immune to Charges Begins",1975
"430",2005
"578 Shot of the Madman",2022
"800 Two Lap Runners",1994
"881",2007
"1000 to 1",2014
"1114",2003
"2022 Rock & Roll Hall of Fame Induction Ceremony",2022
"2067",2020
"2359",2011
"3022",2019
"8000 Miles 2 Girls Rapper",2010
"A Barefoot Dream",2010
"A Better Tomorrow",2010
"A Better Tomorrow III Love and Death in Saigon",1989
"A Cautionary Tail",2012
"A Chinese Ghost Story",1987
"A Chinese Ghost Story II",1990
"A Chinese Ghost Story III",1991
"A Chinese Odyssey Part Three",2016
"A Company Man",2012
"A Copy of My Mind",2016
"A Cozy Christmas Inn",2022
"A Crowd of Three",2010
"A Dangerous Method",2011
"A Distant Place",2021
"A Family Thing",1996
"A Gathering of Old Men",1987
"A Geisha",1953
"A Ghost Story",2017
"A Good Rain Knows",2009
"A History of Violence",2005
"A Land Imagined",2019
"A LEGO Brickumentary",2014
"A Lesson in Love",1954
"A Little Pond",2010
"A Long Break",2022
"A Long Way Down",2014
"A Lot Like Love",2005
"A Love Song",2022
"A Maid from Heaven",1963
"A Man Who Was Superman",2008
"A Man's Flower Road",1986
"A Mighty Heart",2007
"A Millionaire On The Run",2012
"A Mother's Love",1950
"A Night of Horror Nightmare Radio",2020
"A Nightmare on Elm Street",2010
"A Perfect Match",2002
"A Perfect World",1993
"A Place in Hell",2018
"A Promise",1986
"A Quiet Life",1995
"A Reason to Live",2011
"A Rifle and a Bag",2020
"A River Runs, Turns, Erases, Replaces",2021
"A Secret Between Us",2013
"A Shock to the System",1990
"A Simple Life",2011
"A Single Shot",2013
"A Slice of Death",1979
"A Snowy Day in Oakland",2023
"A Space Exodus",2008
"A Story from Abashiri Prison—Duel in Snow Storm",1967
"A Story Written with Water",1965
"A Taxi Driver",2017
"A Touch of Zen",1971
"A Town of Love and Hope",1959
"A True Mob Story",1998
"A Very Harold & Kumar Christmas",2011
"A Woman, a Gun and a Noodle Shop",2009
"A World Without",2021
"A Wounded Fawn",2022
"A Yellow Bird",2016
"Aalto",2020
"Abashiri Prison",1965
"Abashiri Prison Challenge to the Evil",1967
"Abashiri Prison Duel in Hokkaido",1967
"Abashiri Prison Duel in the Snow Country",1966
"Abashiri Prison Duel in the South",1966
"Abe Lincoln in Illinois",1940
"Aberdeen",2014
"About a Boy",2002
"About the Pink Sky",2012
"Abraham Lincoln",1930
"Absolute Power",1997
"Ace Ventura Jr Pet Detective",2009
"Ace Ventura Pet Detective",1994
"Ace Ventura When Nature Calls",1995
"Aces Go Places III Our Man from Bond Street",1984
"Adios, Hombre",1967
"Adjust Your Tracking The Untold Story of the VHS Collector",2013
"Affair in the Snow",1968
"Afghan Luke",2011
"After Ever Happy",2022
"After Everything ()"
"After Innocence",2005
"After School Midnighters",2012
"After We Fell",2021
"Afternoon Delight",2013
"Age Out",2018
"Ain't No Tomorrows",2008
"Ain't Them Bodies Saints",2013
"Air Hostess",1959
"Ajoomma",2022
"Akitsu Springs",1962
"Alcarràs",2022
"Ali & Ava",2021
"Ali Baba Bujang Lapok",1961
"All About Love",2005
"All About My Dog",2005
"All About My Mother",1999
"All About Women",2008
"All Day and a Night",2020
"All Dirt Roads Taste of Salt",2023
"All Mixed Up",1975
"All Quiet on the Western Front",2022
"All Rascals",1962
"All the Beauty and the Bloodshed",2022
"All the Gods in the Sky",2019
"All the Wrong Clues",1981
"Alma Viva",2022
"Almost Home",2019
"Alone with a Stranger",2000
"Aloners",2021
"Ambush",1973
"Ambush",2023
"Ambush at Cimarron Pass",1958
"Amelia",2009
"American Violet",2008
"Among the Beasts",2023
"Amsterdam",2022
"Amuck!",1972
"An Actor Prepares",2018
"An American Carol",2008
"An Average Little Man",1977
"An Ideal Husband",1999
"An Insignificant Man",2016
"An Officer and a Spy",2019
"An Outlaw",1964
"Anantaram",1987
"And So I’m At a Loss",2023
"And the Oscar Goes To.",2014
"Anesthesia",2016
"Angel",2005
"Anna and the Apocalypse",2018
"Anniversary of the Revolution",1918
"Another Family",2014
"Antarctic Journal",2005
"Ante. Sundaraniki!",2022
"Any Which Way You Can",1980
"Aparajito",1956
"Applesauce",2015
"Apprentice",2016
"April Bride",2009
"Apur Sansar",1959
"Architecture 101",2012
"Argo",2012
"Ari Ari the Korean Cinema",2012
"Armageddon",1998
"Armageddon Time",2022
"Arsenal",1929
"Art of the Devil 2",2005
"Art of the Devil 3",2008
"As the Light Goes Out",2014
"Ashes and Snow",2005
"Asian Beat Powder Road",1991
"Asleep",2015
"Assassins Tale",2013
"Asura",2012
"At Eternity's Gate",2018
"Atomic Rulers",1965
"Attack from Space",1965
"aTypical Wednesday",2020
"Autopsy",2008
"Ave Maryam",2019
"Avengers Infinity War",2018
"Away All Boats",1956
"Babe",1995
"Babe Pig in the City",1998
"Babel",2006
"Backstage",2021
"Bacurau",2019
"Bad Biology",2008
"Bad Company",1995
"Bad Education",2004
"BAD FILM",2012
"Bad Genius",2017
"Bad Luck",1960
"Bajrangi Bhaijaan",2015
"Bakushi",2007
"Balloon",2019
"Balloon Club, Afterwards",2006
"Balto",1995
"Balto II Wolf Quest",2002
"Balto III Wings of Change",2004
"Banana Split",2018
"Bandits",2001
"Bang Rajan",2000
"Bank Attack",2007
"Banksy and the Rise of Outlaw Art",2020
"Barbershop",2002
"Barbershop The Next Cut",2016
"Barbie",2023
"BARDO, False Chronicle of a Handful of Truths",2022
"Barry",2016
"Based on a True Story",2017
"Basquiat",1996
"Bastard Swordsman",1983
"Batman The Doom That Came to Gotham",2023
"Battleship Potemkin",1925
"Be My Slave",2012
"Be Sure to Share",2009
"Be with Me",2005
"Beaconsfield",2012
"Beastie Boys",2008
"Beastmaster 2 Through the Portal of Time",1991
"Beastmaster III The Eye of Braxus",1996
"Beautiful & Twisted",2015
"Beautiful Beings",2022
"Beauty on Duty",2010
"Beavis and Butt-Head Do the Universe",2022
"Beetle Queen Conquers Tokyo",2009
"Benji",2018
"Berberian Sound Studio",2012
"Berkeley",2005
"Berlin, I Love You",2019
"Best in Show",2000
"Bet On My Disco",2002
"Between Love and Hate",2006
"Between Tears and Smiles",1964
"Between the Seasons",2018
"Between Two Rivers",2012
"Beware! The Blob",1972
"Bicycle Sighs",1990
"Bicycle Thieves",1948
"Billy Budd",1962
"Billy Lynn's Long Halftime Walk",2016
"Bird",1988
"Birdman or (The Unexpected Virtue of Ignorance)",2014
"Birds of America",2008
"Birthmarked",2018
"Bit",2019
"Bitcon",2022
"Bitter End of a Sweet Night",1961
"Bitter Moon",1992
"Björk Biophilia Live",2014
"Black Is King",2020
"Black Line",1960
"Black Magic 2",1976
"Black Mask 2 City of Masks",2002
"Black Ransom",2010
"Black Silk",1961
"Blackhat",2015
"BlacKkKlansman",2018
"Blackout",2007
"BLACKPINK The Movie",2021
"Blanquita",2022
"Blaze",2022
"Bleeder",1999
"Bless Me, Ultima",2013
"Blind Beast",1969
"Blind Beast vs Dwarf Killer",2001
"Blind Pig Who Wants to Fly",2008
"Blind Woman's Curse",1970
"Blinky Bill the Movie",2015
"Blockade",2022
"Blockers",2018
"Blood Fest",2018
"Blood Is Dry",1960
"Blood on Her Name",2020
"Blood Work",2002
"Blue Jasmine",2013
"Boarding School",2018
"Bob Ross Happy Accidents, Betrayal & Greed",2021
"Bodies Bodies Bodies",2022
"Body Weapon",1999
"Bohachi Bushido Code of the Forgotten Eight",1973
"Bokura wa aruku, tada soredake",2009
"Book of Love",2022
"Boomerang Family",2013
"Born to Gamble",1987
"Boston Strangler",2023
"Both Sides of the Blade",2022
"Boy",1969
"Boy from Heaven",2022
"Boycott",2001
"Boys Are Easy",1993
"Boys Don't Cry",1999
"Brainiac Transmissions After Zero",2019
"Breezy",1973
"Brexitannia",2017
"Bride & Prejudice",2004
"Bride of Chucky",1998
"Brief Encounter",1945
"Bright Angel",1990
"Broadway",2022
"Broken Blossoms",1919
"Broken City",2013
"Broken Embraces",2009
"Broken Flowers",2005
"Broker",2022
"Bromley Light After Dark",2023
"Bronco Billy",1980
"Bronson",2008
"Brooklyn's Finest",2010
"Bros",2022
"Brother Jakob",2016
"Brothers",2015
"Bruce Lee The Man and the Legend",1973
"Bruce Lee, My Brother",2010
"Bugging Mania Friday Girl",1986
"Bujang Lapok",1957
"Bullet Ballet",1999
"Bullet Train",2022
"Bullets Don't Argue",1964
"Burial",2022
"But I'm a Cheerleader",2000
"Butterfly and Flowers",1985
"By Quantum Physics A Nightlife Venture",2019
"Cadence",1990
"Cadillac Records",2008
"Cake",2014
"Call Boy",2018
"Call Jane",2022
"Calling All Police Cars",1975
"Canaletto & the Art of Venice",2017
"Candyman Day of the Dead",1999
"Candyman Farewell to the Flesh",1995
"Capernaum",2018
"Carbon",2022
"Carmen",2022
"Carnage",2011
"Carol",2015
"Casa Amor Exclusive for Ladies",2015
"Case of Kyoko, Case of Shuichi",2013
"Casino Raiders",1989
"Casino Tycoon",1992
"Casino Tycoon II",1992
"Casper",1995
"Catch a Fire",2006
"Catch the Fair One",2022
"Celebrity",1998
"Cello",2005
"Cemetery of Splendor",2015
"Central Intelligence",2016
"C'est Si Bon",2015
"Cézanne Portraits of a Life",2018
"Challenge of the Gamesters",1981
